isbn,id,authors,timestamp,publisher,title,cover,series,tags,languages
"","36","Тибор Фишер & Татьяна Покидаева","2013-12-06T17:07:53+03:00","","Идиотам просьба не беспокоиться","T:\ports\PortableApps\Calibre Portable\Calibre Library\Tibor Fishier\Idiotam pros'ba nie biespokoit'sia (36)\cover.jpg","","","rus"
"","37","Неизв.","2013-12-06T17:07:53+03:00","","Медицинская Энциклопедия (Ru-Ru)","","","","rus"
"","38","Неизв.","2013-12-06T17:08:30+03:00","","Толковый словарь Ушакова","","","","rus"
"","39","Неизв.","2013-12-06T17:08:36+03:00","","Толковый словарь Даля (Ru-Ru)","","","","rus"
"","40","Неизв.","2013-12-06T17:08:44+03:00","","Толковый словарь Ожегова-Шведовой (Ru-Ru)","","","","rus"
"5200018498","41","Апресян, Ю.Д. & Медникова, Э. М.","2013-12-06T17:08:47+03:00","М.: Русский язык","НБАРС (En-Ru)","T:\ports\PortableApps\Calibre Portable\Calibre Library\Apriesian, Iu.D_\NBARS (En-Ru) (41)\cover.jpg","","","eng"
"978-5-91657-193-6","43","Джеффри Айзенберг & Брайан Айзенберг","2013-12-08T23:23:09+03:00","Манн, Иванов и Фербер","Добавьте в корзину. Ключевые принципы повышения конверсии веб-сайтов","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieffri Aizienbiergh\Dobav'tie v korzinu. Kliuchievyie pr (43)\cover.jpg","","marketing, comp_www","rus"
"","44","Е. А. Умин","2013-12-09T13:03:06+03:00","","Иностранный – легко и с удовольствием","","","sci_linguistic","rus"
"","48","Нарумов Б.П., Загорская Н.В., Курчаткина Н.Н. и др.","2013-12-11T19:38:16+03:00","Abby Lingvo x3","Большой Испано-русский словарь","T:\ports\PortableApps\Calibre Portable\Calibre Library\Narumov B.P., Zaghorskaia N.V., Kurc\Bol'shoi Ispano-russkii slovar' (48)\cover.jpg","","Dictionaries","spa"
"","49","Неизв.","2013-12-11T20:04:41+03:00","","Matrics","","","sci_linguistic","spa"
"","50","Ray Douglas Bradbury","2013-12-15T22:02:32+03:00","","Dandelion Wine","T:\ports\PortableApps\Calibre Portable\Calibre Library\Ray Douglas Bradbury\Dandelion Wine (50)\cover.jpg","","prose_classic","eng"
"","51","Рэй Дуглас Брэдбери","2013-12-15T22:02:38+03:00","","Вино из одуванчиков","","","sf","rus"
"","52","Роберт Энсон Хайнлайн","2013-12-15T22:04:28+03:00","","Человек, который продал Луну","","История будущего","sf","rus"
"5-17-005590-0","53","Фрэнк Герберт","2013-12-15T22:17:14+03:00","АСТ","Дюна","T:\ports\PortableApps\Calibre Portable\Calibre Library\Frenk Gierbiert\Diuna (53)\cover.jpg","Дюна","sf","rus"
"5-699-13798-X","54","Айзек Азимов","2013-12-15T22:26:37+03:00","Эксмо","Двухсотлетний человек","T:\ports\PortableApps\Calibre Portable\Calibre Library\Aiziek Azimov\Dvukhsotlietnii chieloviek (54)\cover.jpg","Рассказы о роботах","sf","rus"
"5-8352-0239-3","55","Джон Рональд Руэл Толкин","2013-12-15T22:43:28+03:00","Северо-Запад","Сильмариллион","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhon Ronal'd Ruel Tolkin\Sil'marillion (55)\cover.jpg","","sf_fantasy","rus"
"","56","Томас Манн","2013-12-25T16:32:57+03:00","Правда","Будденброки","T:\ports\PortableApps\Calibre Portable\Calibre Library\Tomas Mann\Buddienbroki (56)\cover.jpg","","prose_classic","rus"
"","57","Игорь Переверзев","2014-01-04T17:17:18+03:00","Microsoft","Как превратить буквы в деньги? Что такое копирайтинг?","T:\ports\PortableApps\Calibre Portable\Calibre Library\Ighor' Pierievierziev\Kak prievratit' bukvy v dien'ghi_ Ch (57)\cover.jpg","","antique","rus"
"5-94848-181-6","58","Геродот","2014-01-20T12:33:29+03:00","ОЛМА-ПРЕСС Инвест","История","T:\ports\PortableApps\Calibre Portable\Calibre Library\Gierodot\Istoriia (58)\cover.jpg","","sci_history","rus"
"","59","Ромен Гари","2014-01-20T13:11:01+03:00","Симпозиум","Воздушные змеи","T:\ports\PortableApps\Calibre Portable\Calibre Library\Romien Gari\Vozdushnyie zmiei (59)\cover.jpg","","prose_classic","rus"
"5-89091-261-5","60","Эмиль Ажар","2014-01-20T13:11:01+03:00","Симпозиум","Вся жизнь впереди","T:\ports\PortableApps\Calibre Portable\Calibre Library\Emil' Azhar\Vsia zhizn' vpieriedi (60)\cover.jpg","","prose_classic","rus"
"","61","Евгений Иванович Замятин","2014-01-20T20:50:36+03:00","","Мы","T:\ports\PortableApps\Calibre Portable\Calibre Library\Ievghienii Ivanovich Zamiatin\My (61)\cover.jpg","","sf_social, prose_rus_classic, prose_classic","rus"
"978-5-699-47561-2","62","Пьер Дюкан","2014-02-08T12:20:27+03:00","Эксмо","Я не умею худеть","T:\ports\PortableApps\Calibre Portable\Calibre Library\P'ier Diukan\Ia nie umieiu khudiet' (62)\cover.jpg","Диета доктора Дюкана","sci_medicine, nonf_biography","rus"
"","63","Мэри Уолстонкрафт Шелли","2014-03-04T23:27:34+03:00","ТЕРРА","Франкенштейн, или Современный Прометей","T:\ports\PortableApps\Calibre Portable\Calibre Library\Meri Uolstonkraft Shielli\Frankienshtiein, ili Sovriemiennyi P (63)\cover.jpg","","prose_classic, sf","rus"
"5-17-015644-8","64","Роберт Луис Стивенсон","2014-03-04T23:27:42+03:00","АСТ, Ермак","Странная история доктора Джекила и мистера Хайда","T:\ports\PortableApps\Calibre Portable\Calibre Library\Robiert Luis Stivienson\Strannaia istoriia doktora Dzhiekila (64)\cover.jpg","Книга на все времена","prose_classic, sf_horror","rus"
"","65","Эдди Османи","2014-03-12T17:09:45+03:00","","Паттерны для масштабируемых JavaScript-приложений","","","",""
"","66","Дэниел Киз","2014-04-08T17:24:09+03:00","","Безумный Маро","","","sf","rus"
"5-699-03903-1","67","Дэниел Киз","2014-04-08T17:24:09+03:00","Эксмо, Домино","Множественные умы Билли Миллигана","T:\ports\PortableApps\Calibre Portable\Calibre Library\Deniiel Kiz\Mnozhiestviennyie umy Billi Milligha (67)\cover.jpg","","prose_contemporary, sci_psychology, nonf_biography","rus"
"","68","Джордж Оруэлл","2014-04-11T12:17:06+03:00","Московский рабочий","Скотный двор","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhordzh Oruell\Skotnyi dvor (68)\cover.jpg","","prose_classic","rus"
"","70","Александр Исаевич Солженицын","2014-04-14T20:23:11+03:00","","Красное колесо. Узел I. Август Четырнадцатого","T:\ports\PortableApps\Calibre Portable\Calibre Library\Alieksandr Isaievich Solzhienitsyn\Krasnoie kolieso. Uziel I. Avghust C (70)\cover.jpg","Красное колесо","prose_history","rus"
"","71","Аркадий Фидлер","2014-04-19T09:18:32+03:00","","Остров Робинзона","T:\ports\PortableApps\Calibre Portable\Calibre Library\Arkadii Fidlier\Ostrov Robinzona (71)\cover.jpg","Белый Ягуар  вождь араваков","adv_indian","rus"
"","72","Аркадий Фидлер","2014-04-19T09:19:35+03:00","","Белый Ягуар","T:\ports\PortableApps\Calibre Portable\Calibre Library\Arkadii Fidlier\Bielyi Iaghuar (72)\cover.jpg","Белый Ягуар – вождь араваков","adv_indian","rus"
"","73","Виктор Джордж Чарльз Норвуд","2014-04-24T11:46:17+03:00","","Один в джунглях. Приключения в лесах Британской Гвианы и Бразилии","T:\ports\PortableApps\Calibre Portable\Calibre Library\Viktor Dzhordzh Charl'z Norvud\Odin v dzhunghliakh. Prikliuchieniia (73)\cover.jpg","","adv_geo","rus"
"5-9524-2004-4","74","Льюис Спенс","2014-04-24T11:46:17+03:00","Центрполиграф","Мифы инков и майя","T:\ports\PortableApps\Calibre Portable\Calibre Library\L'iuis Spiens\Mify inkov i maiia (74)\cover.jpg","","antique_myths","rus"
